,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,_id,genre,imdbID,imdbId,imdbRating,imdbVotes,movielens_Id,sentiment_polarity,tmdbId,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoURL,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,predictedBO
2014,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti",5 nominations.,53021560.0,USA,14 Sep 2010,Gary Winick,"[Comedy, Drama, Romance]","English, Italian, Spanish",50.0,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",https://images-na.ssl-images-amazon.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,Summit Entertainment,PG,14 May 2010,True,105.0,Letters to Juliet,movie,http://LettersToJuliet-Movie.com/,"Jose Rivera, Tim Sullivan",2010,58f85d9c0d39b85b38208327,Drama|Romance,tt0892318,892318,6.5,"76,092",78316,-0.06,37056.0,"Letters to Juliet has a refreshingly earnest romantic charm, but it suffers from limp dialogue and an utter lack of surprises.",61,rotten,40.0,5.1,151,90,http://www.rottentomatoes.com/m/letters_to_juliet/,61.0,3.1,258017,60600000.0
2015,"Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",14 nominations.,60923325.0,USA,28 Sep 2010,Nicholas Stoller,"[Comedy, Music]",English,65.0,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMzQ0MjExNV5BMl5BanBnXkFtZTcwMzkyMzgxMw@@._V1_SX300.jpg,Universal Pictures,R,04 Jun 2010,True,109.0,Get Him to the Greek,movie,http://www.gethimtothegreek.net/,"Nicholas Stoller, Jason Segel (characters)",2010,58f85d9c0d39b85b38208326,Comedy,tt1226229,1226229,6.4,"149,135",78209,0.05,32823.0,"Thanks to a suitably raunchy script and a pair of winning performances from Jonah Hill and Russell Brand, Get Him to the Greek is one of the year's funniest comedies.",138,certified,72.0,6.3,191,53,http://www.rottentomatoes.com/m/1212410-get_him_to_the_greek/,62.0,3.3,213465,37436805.5
2016,"Josh Brolin, John Malkovich, Megan Fox, Michael Fassbender",1 win &amp; 4 nominations.,10500000.0,USA,12 Oct 2010,Jimmy Hayward,"[Action, Drama, Fantasy]",English,33.0,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzYxNjQyMF5BMl5BanBnXkFtZTcwOTQ0OTI0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,18 Jun 2010,True,81.0,Jonah Hex,movie,http://jonah-hex.warnerbros.com/,"Mark Neveldine (screenplay), Brian Taylor (screenplay), William Farmer (story), Mark Neveldine (story), Brian Taylor (story), John Albano (characters appearing in magazines published by DC Comics), Tony DeZuniga (characters appearing in magazines published by DC Comics)",2010,58f85d9c0d39b85b38208329,Action|Drama|Thriller|Western,tt1075747,1075747,4.7,"46,300",78467,0.2,20533.0,"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",18,rotten,12.0,3.5,145,127,http://www.rottentomatoes.com/m/jonah_hex/,20.0,2.4,170595,53100000.0
2017,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen",2 nominations.,37481242.0,USA,24 Aug 2010,Alan Poul,"[Comedy, Romance]",English,34.0,"A woman conceives twins through artificial insemination, only to meet the man of her dreams on the very same day.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjAzODM4NTc1OF5BMl5BanBnXkFtZTcwNDU2ODUzMw@@._V1_SX300.jpg,CBS Films,PG-13,23 Apr 2010,True,104.0,The Back-up Plan,movie,http://www.theback-upplan.com/,Kate Angelo,2010,58f85d9c0d39b85b38208328,Comedy|Romance,tt1212436,1212436,5.3,"41,298",78264,0.15,34806.0,"Jennifer Lopez is as appealing as ever, but The Back-Up Plan smothers its star with unrelatable characters and a predictable plot.",26,rotten,18.0,3.6,142,116,http://www.rottentomatoes.com/m/back_up_plan/,45.0,3.1,135494,10467056.0
2018,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson",2 wins &amp; 4 nominations.,77213489.0,USA,14 Dec 2010,Joe Carnahan,"[Action, Adventure, Comedy]","English, Spanish, French, Swahili, German",47.0,"A group of Iraq War veterans looks to clear their name with the U.S. military, who suspect the four men of committing a crime for which they were framed.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4ODc4NTQ1N15BMl5BanBnXkFtZTcwNDUxODUyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,11 Jun 2010,True,117.0,The A-Team,movie,http://www.ateam-movie.com/,"Joe Carnahan, Brian Bloom, Skip Woods, Frank Lupo (television series ""The A-Team""), Stephen J. Cannell (television series ""The A-Team"")",2010,58f85d9c0d39b85b3820832a,Action|Comedy|Thriller,tt0429493,429493,6.8,"213,986",78469,0.05,34544.0,"For better and for worse, Joe Carnahan's big-screen version of The A-Team captures the superficial, noisy spirit of the TV series.",95,rotten,47.0,5.4,203,108,http://www.rottentomatoes.com/m/a_team/,66.0,3.6,199026,77069217.7273
2019,"Joan Rivers, Jocelyn Pickett, Bill Sammeth, Larry A. Thompson",5 wins &amp; 12 nominations.,2927972.0,USA,14 Dec 2010,"Ricki Stern, Anne Sundberg","[Documentary, Biography, Comedy]",English,79.0,"A documentary on the life and career of Joan Rivers, made as the comedienne turns 75 years old.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3MTc5MzAwMV5BMl5BanBnXkFtZTcwNzgzNzE1Mw@@._V1_SX300.jpg,IFC Films,R,02 Jul 2010,True,84.0,Joan Rivers: A Piece of Work,movie,http://www.ifcfilms.com/films/joan-rivers-a-piece-of-work,Ricki Stern,2010,58f85d9c0d39b85b3820832c,Documentary,tt1568150,1568150,7.4,"3,245",78517,0.175,41397.0,"Penetrating Rivers' coarse image, this compelling documentary offers an honest, behind-the-scenes look at her career -- and at show business in general.",94,certified,91.0,7.6,103,9,http://www.rottentomatoes.com/m/joan-rivers-a-piece-of-work/,82.0,3.8,12327,423032628.0
2020,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Won 2 Oscars. Another 58 wins &amp; 89 nominations.,414984497.0,USA,02 Nov 2010,Lee Unkrich,"[Animation, Adventure, Comedy]","English, Spanish",92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Walt Disney Pictures,G,18 Jun 2010,True,103.0,Toy Story 3,movie,http://www.disney.com/ToyStory,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)",2010,58f85d9c0d39b85b3820832b,Adventure|Animation|Children|Comedy|Fantasy|IMAX,tt0435761,435761,8.3,"560,498",78499,0.34,10193.0,"Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",286,certified,99.0,8.9,290,4,http://www.rottentomatoes.com/m/toy_story_3/,89.0,4.3,604029,2901744.0
2021,"Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards",Nominated for 4 Oscars. Another 63 wins &amp; 118 nominations.,6200000.0,USA,26 Oct 2010,Debra Granik,[Drama],English,90.0,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0OTM3MDMxNF5BMl5BanBnXkFtZTcwMDY1MjI0Mw@@._V1_SX300.jpg,Roadside Attractions,R,16 Jul 2010,True,100.0,Winter's Bone,movie,http://www.wintersbonemovie.com/,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)",2010,58f85d9c0d39b85b3820832d,Drama|Thriller,tt1399683,1399683,7.2,"113,328",78574,0.3,39013.0,"Bleak, haunting, and yet still somehow hopeful, Winter's Bone is writer-director Debra Granik's best work yet -- and it boasts an incredible, starmaking performance from Jennifer Lawrence.",152,certified,94.0,8.3,161,9,http://www.rottentomatoes.com/m/10012136-winters_bone/,76.0,3.7,50851,6331346.0
2022,"Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty",2 wins &amp; 5 nominations.,200000.0,"USA, Sweden, UK, Canada",28 Sep 2010,Michael Winterbottom,"[Crime, Drama, Thriller]",English,53.0,A West Texas deputy sheriff is slowly unmasked as a psychotic killer.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyOTIwMTU5MV5BMl5BanBnXkFtZTcwNDY5NjA1Mw@@._V1_SX300.jpg,IFC Films,R,08 Jun 2010,True,109.0,The Killer Inside Me,movie,http://www.ifcfilms.com/films/the-killer-inside-me,"John Curran, Jim Thompson (novel)",2010,58f85d9c0d39b85b3820832f,Crime|Drama|Thriller|Western,tt0954947,954947,6.1,"28,902",78679,0.11,37414.0,"The Killer Inside Me is stylish and beautifully shot, but Michael Winterbottom's distance from his characters robs this often brutally violent film of crucial emotional context.",69,rotten,55.0,5.7,125,56,http://www.rottentomatoes.com/m/the_killer_inside_me/,39.0,2.9,15096,242589580.0
2023,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",1 win &amp; 12 nominations.,238319043.0,USA,07 Dec 2010,Mike Mitchell,"[Animation, Adventure, Comedy]",English,58.0,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,Paramount,PG,21 May 2010,True,93.0,Shrek Forever After,movie,http://www.shrekforeverafter.com/,"William Steig (book), Josh Klausner, Darren Lemke",2010,58f85d9c0d39b85b3820832e,Adventure|Animation|Children|Comedy|Fantasy|IMAX,tt0892791,892791,6.4,"141,453",78637,0.0,10192.0,"While not without its moments, Shrek Forever After too often feels like a rote rehashing of the franchise's earlier entries.",109,rotten,58.0,5.9,189,80,http://www.rottentomatoes.com/m/shrek_forever_after/,54.0,3.5,352424,201450.928571
2024,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",8 wins &amp; 12 nominations.,131564731.0,USA,16 Nov 2010,M. Night Shyamalan,"[Action, Adventure, Family]",English,20.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,Paramount Pictures,PG,01 Jul 2010,True,103.0,The Last Airbender,movie,http://www.TheLastAirbenderMovie.com/,M. Night Shyamalan,2010,58f85d9c0d39b85b38208330,Action|Adventure|Fantasy,tt0938283,938283,4.2,"120,495",78893,-0.1,10196.0,"The Last Airbender squanders its popular source material with incomprehensible plotting, horrible acting, and detached joyless direction.",11,rotten,6.0,2.8,183,172,http://www.rottentomatoes.com/m/last_airbender/,30.0,2.6,321628,301920409.0
2025,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins",2 wins &amp; 4 nominations.,52000688.0,USA,19 Oct 2010,Nimród Antal,"[Action, Adventure, Sci-Fi]","English, Spanish, Russian",51.0,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjFmNDNlMGItMDQxMS00ZWMxLTg4MmQtMTBiNWU3ZDU1Nzk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,09 Jul 2010,True,107.0,Predators,movie,http://www.predators-movie.com/,"Alex Litvak, Michael Finch, Jim Thomas (characters), John Thomas (characters)",2010,58f85d9c0d39b85b38208332,Action|Sci-Fi|Thriller,tt1424381,1424381,6.4,"174,055",79057,-0.4,34851.0,"After a string of subpar sequels, this bloody, action-packed reboot takes the Predator franchise back to its testosterone-fueled roots.",119,fresh,64.0,5.8,187,68,http://www.rottentomatoes.com/m/10012256-predators/,51.0,3.2,159182,131766943.0
