,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,_id,genre,imdbID,imdbId,imdbRating,imdbVotes,movielens_Id,sentiment_polarity,tmdbId,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoURL,tomatoUserMeter,tomatoUserRating,tomatoUserReviews
12,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",13 wins &amp; 26 nominations.,156164829.0,USA,21 Nov 2000,Bryan Singer,"[Action, Adventure, Sci-Fi]",English,64.0,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU4ODZlYTMtZDg4Yi00OGUzLWEzYjUtZjE2ZmM0NTZkYTQ2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,20th Century Fox,PG-13,14 Jul 2000,True,104.0,X-Men,movie,http://www.x-men-the-movie.com,"Tom DeSanto (story), Bryan Singer (story), David Hayter (screenplay)",2000,58f85d9c0d39b85b38207b54,Action|Adventure|Sci-Fi,tt0120903,120903,7.4,"461,714",3793,0.248333333333,36657.0,"Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.",135,certified,81.0,7.1,166,31,http://www.rottentomatoes.com/m/xmen/,83.0,3.7,1065406
13,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar",5 wins &amp; 5 nominations.,155018556.0,USA,30 Jan 2001,Robert Zemeckis,"[Drama, Fantasy, Horror]",English,51.0,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,DreamWorks SKG,PG-13,21 Jul 2000,True,130.0,What Lies Beneath,movie,,"Clark Gregg (screenplay), Sarah Kernochan (story), Clark Gregg (story)",2000,58f85d9c0d39b85b38207b55,Drama|Horror|Mystery,tt0161081,161081,6.6,"99,615",3798,-0.35,2655.0,Robert Zemeckis is unable to salvage an uncompelling and unoriginal film.,58,rotten,46.0,5.5,125,67,http://www.rottentomatoes.com/m/what_lies_beneath/,59.0,3.1,278676
14,"Alec Baldwin, Cody McMains, Russell Means, Peter Fonda",2 nominations.,2027042.0,"UK, USA, Canada",31 Oct 2000,Britt Allcroft,"[Adventure, Comedy, Drama]",English,19.0,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile,...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MTUyODI0MF5BMl5BanBnXkFtZTcwODU0OTIyMQ@@._V1_SX300.jpg,Destination Films,G,26 Jul 2000,True,85.0,Thomas and the Magic Railroad,movie,http://www.magicrailroad.com,"Britt Allcroft, Rev. W. Awdry (books)",2000,58f85d9c0d39b85b38207b56,Children,tt0205461,205461,3.6,"2,905",3820,0.0980654761905,16110.0,"Kids these days demand cutting edge special effects or at least a clever plot with cute charectors. This movie has neither, having lost in its Americanization what the British original did so right.",13,rotten,19.0,3.9,67,54,http://www.rottentomatoes.com/m/thomas_and_the_magic_railroad/,38.0,2.8,3155
15,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",2 wins &amp; 12 nominations.,122385345.0,USA,05 Dec 2000,Peter Segal,"[Comedy, Romance, Sci-Fi]",English,38.0,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDE3NzA2OF5BMl5BanBnXkFtZTcwMzQzMzAyMQ@@._V1_SX300.jpg,Universal Pictures,PG-13,28 Jul 2000,True,106.0,Nutty Professor II: The Klumps,movie,http://www.klumps.com,"Jerry Lewis (characters), Steve Oedekerk (story), Barry W. Blaustein (story), David Sheffield (story), Barry W. Blaustein (screenplay), David Sheffield (screenplay), Paul Weitz (screenplay), Chris Weitz (screenplay)",2000,58f85d9c0d39b85b38207b57,Comedy,tt0144528,144528,4.3,"39,829",3821,0.025,12107.0,"While Eddie Murphy is still hilarious as the entire Klump family, the movie falls apart because of uneven pacing, a poor script, and skits that rely on being gross rather than funny.",22,rotten,26.0,4.4,85,63,http://www.rottentomatoes.com/m/nutty_professor_ii_the_klumps/,33.0,2.6,231544
16,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",Nominated for 1 Oscar. Another 7 wins &amp; 9 nominations.,72055301.0,"USA, Germany",08 May 2001,Paul Verhoeven,"[Action, Horror, Sci-Fi]",English,24.0,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,R,04 Aug 2000,True,112.0,Hollow Man,movie,http://www.spe.sony.com/movies/hollowman,"Gary Scott Thompson (story), Andrew W. Marlowe (story), Andrew W. Marlowe (screenplay)",2000,58f85d9c0d39b85b38207b58,Horror|Sci-Fi|Thriller,tt0164052,164052,5.7,"103,695",3826,0.160912698413,9383.0,"Despite awesome special effects, Hollow Man falls short of other films directed by Paul Verhoeven. This flick over time degenerates into a typical horror film.",31,rotten,27.0,4.4,114,83,http://www.rottentomatoes.com/m/hollow_man/,27.0,2.6,366482
17,"Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell",1 win &amp; 5 nominations.,28134407.0,"USA, Germany",13 Feb 2001,Chuck Russell,"[Crime, Drama, Horror]",English,17.0,"Omens and concepts of good vs. evil have no place in Maggie O'Connor's well-ordered, practical universe. Her life revolves around her job as a nurse at a busy New York hospital, until one ...",http://ia.media-imdb.com/images/M/MV5BMjA2NDIxNzkzNl5BMl5BanBnXkFtZTcwMjEwMDMyMQ@@._V1_SX300.jpg,Paramount Pictures,R,11 Aug 2000,True,107.0,Bless the Child,movie,http://www.blessthechild.com,"Cathy Cash Spellman (novel), Thomas Rickman (screenplay), Clifford Green (screenplay), Ellen Green (screenplay)",2000,58f85d9c0d39b85b38207b59,Thriller,tt0163983,163983,5.1,"12,084",3857,0.4,10391.0,Bless the Child squanders its talented cast on a plot that's more likely to inspire unintentional laughs than shivers.,3,rotten,3.0,3.0,113,110,http://www.rottentomatoes.com/m/bless_the_child/,42.0,2.8,35230
18,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",,44004460.0,USA,28 Nov 2000,Howard Deutch,"[Comedy, Sport]","English, American Sign Language",30.0,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDQwMDgwNl5BMl5BanBnXkFtZTgwOTU5ODA5MjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,11 Aug 2000,True,118.0,The Replacements,movie,http://www.the-replacements.com,Vince McKewin,2000,58f85d9c0d39b85b38207b5a,Comedy,tt0191397,191397,6.5,"48,849",3861,0.15,10393.0,The cliched characters and obvious outcome make all the fun and excitement amount to nothing.,44,rotten,41.0,5.0,108,64,http://www.rottentomatoes.com/m/replacements/,66.0,3.1,159540
19,"Brenda Blethyn, Craig Ferguson, Martin Clunes, Tchéky Karyo",Nominated for 1 Golden Globe. Another 4 wins &amp; 8 nominations.,11483975.0,UK,19 Dec 2000,Nigel Cole,"[Comedy, Crime]","English, French",62.0,"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2YyNGQyMmEtOGIwOS00N2QyLWFlNzEtNjRjYzFmMjJmY2M5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Fine Line Features,R,01 Sep 2000,True,93.0,Saving Grace,movie,http://www.saving-grace-movie.com,"Mark Crowdy (story), Craig Ferguson (screenplay), Mark Crowdy (screenplay)",2000,58f85d9c0d39b85b38207b5b,Comedy,tt0195234,195234,6.9,"15,564",3831,0.383333333333,2360.0,"The plot and basis for jokes are slight, but Saving Grace is indeed saved by some charming performances, most notably Brenda Blethyn's.",56,fresh,63.0,6.0,89,33,http://www.rottentomatoes.com/m/1099492-saving_grace/,83.0,3.8,11476
20,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",3 nominations.,37680981.0,USA,27 Feb 2001,Spike Lee,"[Comedy, Documentary]",English,76.0,A concert film featuring four major African American stand up comedians.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDY1NDU1M15BMl5BanBnXkFtZTcwODcyNTMyMQ@@._V1_SX300.jpg,Paramount Pictures,R,18 Aug 2000,True,115.0,The Original Kings of Comedy,movie,http://www.kingsofcomedymovie.com,"Cedric the Entertainer, Steve Harvey, D.L. Hughley, Bernie Mac",2000,58f85d9c0d39b85b38207b5c,Comedy|Documentary,tt0236388,236388,6.6,"4,724",3865,0.375,23618.0,"If you want lots of laughs and don't mind some profanity, The Original Kings of Comedy can deliver.",76,certified,86.0,6.9,88,12,http://www.rottentomatoes.com/m/original_kings_of_comedy/,79.0,3.7,17828
21,"Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko",2 wins &amp; 9 nominations.,29458928.0,"USA, Canada",26 Dec 2000,Christian Duguay,"[Action, Adventure, Crime]",English,30.0,"Shaw is an operative for the United Nations' covert dirty-tricks squad, using espionage and quasi-ethical tactics to secure peace and cooperation. When a shipping container full of dead ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNzAyMjE2MDI3M15BMl5BanBnXkFtZTYwNTIwMzg2._V1_SX300.jpg,Warner Bros. Pictures,R,25 Aug 2000,True,117.0,The Art of War,movie,http://www.artofwarmovie.com,"Wayne Beach (story), Wayne Beach (screenplay), Simon Barry (screenplay)",2000,58f85d9c0d39b85b38207b5d,Action|Thriller,tt0160009,160009,5.7,"25,519",3879,-0.216666666667,11398.0,"Excessively noisy and overly reliant on genre clichés, The Art of War wastes its star's charisma on a ridiculous, convoluted plot and poorly edited action sequences.",13,rotten,16.0,3.9,80,67,http://www.rottentomatoes.com/m/1099604-art_of_war/,36.0,2.9,26570
22,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",2 wins &amp; 7 nominations.,67905760.0,USA,13 Feb 2001,Peyton Reed,"[Comedy, Sport]",English,52.0,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjhiMjk1YWYtMjgyYy00YTFhLTk0NTMtN2Q5MDZjMWEyYWI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,25 Aug 2000,True,98.0,Bring It On,movie,http://www.bringitonmovie.com,Jessica Bendinger,2000,58f85d9c0d39b85b38207b5e,Comedy,tt0204946,204946,5.9,"71,260",3882,0.0430952380952,1588.0,"Despite the formulaic, fluffy storyline, this movie is surprisingly fun to watch, mostly due to its high energy and how it humorously spoofs cheerleading instead of taking itself too seriously.",74,fresh,63.0,5.9,117,43,http://www.rottentomatoes.com/m/bring_it_on/,66.0,3.1,767323
23,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Seymour Cassel",1 win.,12485210.0,USA,13 Mar 2001,Michael Dinner,"[Crime, Comedy]","English, Spanish",37.0,Four retired mobsters plan one last crime to save their retirement home.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDA2NTY2MV5BMl5BanBnXkFtZTcwNjg2MjIyMQ@@._V1_SX300.jpg,Touchstone Pictures,PG-13,25 Aug 2000,True,88.0,The Crew,movie,http://studio.go.com/movies/thecrew/index.html,Barry Fanaro,2000,58f85d9c0d39b85b38207b5f,Comedy,tt0198386,198386,5.6,"3,955",3884,0.025,19150.0,"Though the four actors are good together, the jokes are stale and not funny.",17,rotten,20.0,3.7,85,68,http://www.rottentomatoes.com/m/1099659-crew/,36.0,2.7,4108
24,"Pras Michel, Ja Rule, Jason Statham, Vondie Curtis-Hall",1 nomination.,738654.0,USA,20 Mar 2001,Robert Adetuyi,"[Crime, Drama, Action]",English,18.0,"Trying to bootstrap his way out of Brooklyn's mean streets is Diamond, a rap musician. With his long-time pal Gage acting as his manager, he's trying to lay down a demo tape with cut-rate ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMzI3NTMzNl5BMl5BanBnXkFtZTcwMTg0MjkxMQ@@._V1_SX300.jpg,New Line Cinema,R,06 Sep 2000,True,86.0,Turn It Up,movie,http://www.turnitupmovie.com,"Ray 'Cory' Daniels (story), Chris Hudson (story), Kelly Hilaire (story), Robert Adetuyi (screenplay)",2000,58f85d9c0d39b85b38207b60,Crime|Drama,tt0216772,216772,4.4,963,3891,0.25,9995.0,"Reviewers say Turn It Up has a derivative feel, running through too many urban movie cliches.",3,rotten,8.0,3.4,38,35,http://www.rottentomatoes.com/m/turn_it_up/,30.0,2.9,1871
25,"James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson",1 nomination.,28572915.0,USA,02 Sep 2003,Joe Charbanic,"[Crime, Horror, Mystery]","English, Vietnamese",22.0,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NTM5NDYwMl5BMl5BanBnXkFtZTYwNzA0MTk5._V1_SX300.jpg,Universal Pictures,R,08 Sep 2000,True,97.0,The Watcher,movie,,"Darcy Meyers (story), David Elliot (story), David Elliot (screenplay), Clay Ayers (screenplay)",2000,58f85d9c0d39b85b38207b61,Crime|Thriller,tt0204626,204626,5.3,"22,408",3895,0.0,10685.0,"The Watcher has Keanu Reeves cast against type, but the movie is short on thrills, suspense, and believability.",9,rotten,10.0,3.4,89,80,http://www.rottentomatoes.com/m/watcher/,29.0,2.7,21532
26,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs",,5225573.0,USA,19 Jun 2001,Christopher McQuarrie,"[Action, Crime, Drama]","English, Spanish",49.0,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjAwNTExNV5BMl5BanBnXkFtZTcwNzI4NjEyMQ@@._V1_SX300.jpg,Artisan Entertainment,R,08 Sep 2000,True,119.0,The Way of the Gun,movie,http://www.wayofthegun.com,Christopher McQuarrie,2000,58f85d9c0d39b85b38207b62,Crime|Thriller,tt0202677,202677,6.7,"27,802",3896,0.0944444444444,1619.0,"The Way of the Gun has some good parts, but overall, the movie is derivative, sloppy, and sluggish.",50,rotten,48.0,5.4,105,55,http://www.rottentomatoes.com/m/way_of_the_gun/,70.0,3.3,31268
